VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Base MSRP,StateID
5YJ3E1EB1M,Clark,Las Vegas,NV,89146,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,210
5YJYGDEE7M,Clark,Las Vegas,NV,89115,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,210
1G1RA6E46E,Clark,Las Vegas,NV,89166,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,34395,210
1G1RD6E45D,Clark,Laughlin,NV,89029,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,34395,210
5YJYGDEE6L,Clark,Las Vegas,NV,89138,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,210
5YJ3E1EB1M,Clark,Las Vegas,NV,89147,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,210
1N4AZ0CP6E,Newport,Middletown,RI,2842,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,28000,295
1C4JJXP61M,Burlington,Medford,NJ,8055,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25,54375,220
JTDKARFP3L,Burlington,Joint Base Mdl,NJ,8641,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),220,27450,220
KMHC65LD3K,Camden,Haddonfield,NJ,8033,2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),220,35500,220
5YJ3E1EB8J,Larimer,Timnath,CO,80547,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,125
1G1FY6S08M,Las Animas,Trinidad,CO,81082,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,125
KL8CL6S01E,El Paso,Colorado Springs,CO,80923,2014,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),82,14900,125
7SAYGDEF5N,El Paso,Colorado Springs,CO,80925,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,125
7SAYGDEF2N,Adams,Aurora,CO,80019,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,125
2C4RC1S72M,El Paso,Colorado Springs,CO,80919,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32,44995,125
5YJSA1E23L,El Paso,Colorado Springs,CO,80925,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),250,75000,125
3MW5P9J05N,Arapahoe,Englewood,CO,80111,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),22,45500,125
LPSED3KA1M,Boulder,Longmont,CO,80501,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),270,55000,125
5YJYGDEF3L,Platte,Platte City,MO,64079,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,285
